tf,ma,z,gate,stop,rr,ret,pf,n,win,dd,sharpe
1h,20,2.5,False,3.0,2.0,0.008237820981344512,1.01208624585916,103,0.34951456310679613,-0.13453290082992564,0.126379267853521
1h,50,1.5,True,1.0,0.5,-0.6959835240780918,0.5377600763024909,600,0.6033333333333334,-0.712341990241151,-6.15683900431121
1h,50,1.5,True,1.0,0.75,-0.5779073572223327,0.682095933470967,529,0.5387523629489603,-0.6248712630270818,-4.024569936077763
1h,50,1.5,True,1.0,1.0,-0.47864596517533786,0.7673873819042871,482,0.487551867219917,-0.5646751451141973,-2.7579498898547277
1h,50,1.5,True,1.0,1.5,-0.502982905314611,0.7703672020299727,422,0.3791469194312796,-0.6268764780899911,-2.60004794571064
1h,50,1.5,True,1.0,2.0,-0.3972610140118299,0.8312894994734945,394,0.3299492385786802,-0.5674066026453506,-1.6304007957127284
1h,50,1.5,True,1.5,0.5,-0.39723232715304235,0.6951471686415156,440,0.6363636363636364,-0.4515924575175355,-3.1632469868025543
1h,50,1.5,True,1.5,0.75,-0.3449204369444555,0.7612820769006661,374,0.5481283422459893,-0.4390895012365036,-2.362094862322725
1h,50,1.5,True,1.5,1.0,-0.3412523957639888,0.7775718236406337,335,0.4746268656716418,-0.44592293377708936,-2.137920709457341
1h,50,1.5,True,1.5,1.5,-0.24878250845764316,0.8551730179632865,300,0.3933333333333333,-0.41864959953156333,-1.2275025881214823
1h,50,1.5,True,1.5,2.0,-0.15929323721569122,0.9140441688843188,268,0.33955223880597013,-0.3619864071175336,-0.6233709910104295
1h,50,1.5,True,2.0,0.5,-0.13296965153002205,0.8756828232255076,336,0.6726190476190477,-0.26740969748217347,-1.02489480000111
1h,50,1.5,True,2.0,0.75,-0.1521796316795715,0.8701616513430133,280,0.5678571428571428,-0.27756395823935853,-1.0520573267370397
1h,50,1.5,True,2.0,1.0,-0.1387732777544054,0.8898895503328852,253,0.4980237154150198,-0.28414734209421855,-0.8523220189338746
1h,50,1.5,True,2.0,1.5,0.05910553073931846,1.0430862220136128,214,0.43457943925233644,-0.1473916193757332,0.4026657016906181
1h,50,1.5,True,2.0,2.0,0.08896173690557618,1.069539769770297,178,0.3707865168539326,-0.16921840227521723,0.5310152002220283
1h,50,1.5,True,3.0,0.5,-0.05461064377895086,0.9268901185886654,224,0.6741071428571429,-0.17587171928860468,-0.4773609051396005
1h,50,1.5,True,3.0,0.75,0.026988946605361885,1.0316046956960883,196,0.6020408163265306,-0.14804452377620048,0.2789043946344156
1h,50,1.5,True,3.0,1.0,0.10554612443369815,1.122386243344093,163,0.5521472392638037,-0.11277532873040119,0.8467087753687896
1h,50,1.5,True,3.0,1.5,-0.005909868220972059,0.992675873026534,125,0.416,-0.13776527766178115,0.023834775671722562
1h,50,1.5,True,3.0,2.0,0.11485419366431415,1.1486699151041986,104,0.38461538461538464,-0.14632898845989928,0.7977308479550373
1h,50,1.5,False,1.0,0.5,-0.7985569496570641,0.5883601007752803,937,0.615795090715048,-0.8128835597731472,-6.637447379880156
1h,50,1.5,False,1.0,0.75,-0.6553730507623596,0.7370545142202248,804,0.5509950248756219,-0.6951978102686798,-4.01022811900406
1h,50,1.5,False,1.0,1.0,-0.5760100357040667,0.7945476316740547,722,0.4903047091412742,-0.6457458698363994,-2.934590050946318
1h,50,1.5,False,1.0,1.5,-0.5595243025704493,0.8159261924216651,611,0.3878887070376432,-0.6447516303112524,-2.48325869920335
1h,50,1.5,False,1.0,2.0,-0.5053606385005063,0.844963101266752,566,0.3286219081272085,-0.6252067016113554,-1.883154785349326
1h,50,1.5,False,1.5,0.5,-0.4477547892626563,0.753988782548388,657,0.6484018264840182,-0.4881975694493734,-3.0346702191807036
1h,50,1.5,False,1.5,0.75,-0.3541736002738497,0.8292358824158729,546,0.5622710622710623,-0.4465539413422338,-1.9887254541829322
1h,50,1.5,False,1.5,1.0,-0.34072137210954856,0.8429419122578414,474,0.48945147679324896,-0.42978258242831924,-1.7555864215661778
1h,50,1.5,False,1.5,1.5,-0.29489328217650956,0.8774541861383001,417,0.39568345323741005,-0.44389491763714417,-1.2491404410432985
1h,50,1.5,False,1.5,2.0,-0.11610708042503426,0.957692132805206,373,0.3485254691689008,-0.333702997496488,-0.3058519953004334
1h,50,1.5,False,2.0,0.5,-0.16167803697083294,0.891776123229501,470,0.6723404255319149,-0.28129979845650444,-1.0556965646595053
1h,50,1.5,False,2.0,0.75,-0.1066925085372532,0.9340021120757699,380,0.5815789473684211,-0.23407947039707067,-0.5756724324812643
1h,50,1.5,False,2.0,1.0,-0.15100633157794252,0.9124913757687307,343,0.5014577259475219,-0.28487653904379096,-0.7800852231427927
1h,50,1.5,False,2.0,1.5,0.055171558138463306,1.0288544563960758,290,0.43103448275862066,-0.16461889733886326,0.3554783268191448
1h,50,1.5,False,2.0,2.0,0.08017156316609109,1.0436829838743256,241,0.3651452282157676,-0.2304610958964961,0.450285860376986
1h,50,1.5,False,3.0,0.5,-0.007888012918004783,0.992186878028364,302,0.6854304635761589,-0.14062070124156034,-0.004891940975581718
1h,50,1.5,False,3.0,0.75,0.1186721035845335,1.107345824289,251,0.6175298804780877,-0.10854971973505745,0.8901714470696261
1h,50,1.5,False,3.0,1.0,0.20370838593958274,1.1813399378151692,207,0.5652173913043478,-0.12112471907660416,1.360784242456242
1h,50,1.5,False,3.0,1.5,0.10787567447846658,1.1019400176627607,160,0.44375,-0.16535927459706523,0.7255115191064115
1h,50,1.5,False,3.0,2.0,0.1625395478504401,1.179251860416969,115,0.391304347826087,-0.24892056127481188,1.026227078210728
1h,50,2.0,True,1.0,0.5,-0.4753834402455195,0.5120323857517785,313,0.5942492012779552,-0.5273923788367368,-4.470137471097011
1h,50,2.0,True,1.0,0.75,-0.40306013677458274,0.6427313728141182,285,0.5263157894736842,-0.4701418636169231,-3.220828781680245
1h,50,2.0,True,1.0,1.0,-0.37450147624923014,0.6965702975741307,269,0.4646840148698885,-0.44331835232793837,-2.6554815410303827
1h,50,2.0,True,1.0,1.5,-0.31209215984113725,0.775324435091091,248,0.38306451612903225,-0.4072813075278371,-1.797243906547508
1h,50,2.0,True,1.0,2.0,-0.21441935049771732,0.8652839934416404,240,0.3375,-0.340763444382153,-0.964920572329967
1h,50,2.0,True,1.5,0.5,-0.2456965942389967,0.6945382589752832,243,0.6337448559670782,-0.30536000253190143,-2.342296312816014
1h,50,2.0,True,1.5,0.75,-0.2322923141199914,0.7493217597958859,218,0.5412844036697247,-0.3231768032166643,-1.92058884231308
1h,50,2.0,True,1.5,1.0,-0.16186644187864385,0.8399298393572052,205,0.4926829268292683,-0.2835848107161876,-1.1323130762031013
1h,50,2.0,True,1.5,1.5,-0.1247213276813467,0.8944955673086279,189,0.4021164021164021,-0.27747636692048383,-0.6938472388164694
1h,50,2.0,True,1.5,2.0,-0.07545364693454026,0.9446193758085362,182,0.34615384615384615,-0.24980657767269965,-0.30798207837466923
1h,50,2.0,True,2.0,0.5,-0.08546442264854448,0.8649650354497738,196,0.6683673469387755,-0.17274634926403587,-0.8363138856576203
1h,50,2.0,True,2.0,0.75,-0.08184032782794892,0.8908500398686271,178,0.5730337078651685,-0.18892780553894328,-0.6723673379290318
1h,50,2.0,True,2.0,1.0,-0.0835634513979705,0.9026435227791122,168,0.5,-0.20550682352337568,-0.6022576234830013
1h,50,2.0,True,2.0,1.5,0.02994957721745295,1.0297010646749187,153,0.43137254901960786,-0.1388252337627569,0.2657480803247552
1h,50,2.0,True,2.0,2.0,0.05977552188231483,1.0632199295599443,130,0.36923076923076925,-0.10664096596891337,0.42923922411341975
1h,50,2.0,True,3.0,0.5,-0.04656796983841227,0.9071516549061729,148,0.668918918918919,-0.1068389436143814,-0.506523184502493
1h,50,2.0,True,3.0,0.75,0.0723188429343744,1.1304212001326026,133,0.6240601503759399,-0.05741264617375075,0.7539297523098046
1h,50,2.0,True,3.0,1.0,0.12909385105061455,1.200733850934135,128,0.5703125,-0.06442288763822135,1.1272342291173787
1h,50,2.0,True,3.0,1.5,0.13645400892241266,1.217155871144895,100,0.47,-0.0991245779335258,1.0757924361121836
1h,50,2.0,True,3.0,2.0,0.17826081693571827,1.294338521368323,84,0.4166666666666667,-0.10789705864196641,1.261579082058309
1h,50,2.0,False,1.0,0.5,-0.5816510281192191,0.5332351073928882,454,0.5969162995594713,-0.6106452647993317,-4.967204781343093
1h,50,2.0,False,1.0,0.75,-0.47968385780449985,0.6787433392895076,408,0.5318627450980392,-0.5276521587086294,-3.3705151650314042
1h,50,2.0,False,1.0,1.0,-0.4055236063973845,0.7469116626250392,378,0.47354497354497355,-0.4893441427655264,-2.401307880162584
1h,50,2.0,False,1.0,1.5,-0.348708724730189,0.8068401874101957,344,0.3866279069767442,-0.44705963435879936,-1.6931293076962757
1h,50,2.0,False,1.0,2.0,-0.2485554551240794,0.88493563867856,326,0.3374233128834356,-0.364618783820718,-0.9511514335218847
1h,50,2.0,False,1.5,0.5,-0.25218501593892617,0.7713046472882955,349,0.6504297994269341,-0.3013733847598594,-2.0052979866917098
1h,50,2.0,False,1.5,0.75,-0.22256301414629298,0.8227484426192514,308,0.5551948051948052,-0.29890998578630223,-1.4929945564851055
1h,50,2.0,False,1.5,1.0,-0.17743124031670177,0.8695626348264623,285,0.49473684210526314,-0.27122325320034224,-1.028353309719246
1h,50,2.0,False,1.5,1.5,-0.11895563193452885,0.9272039294348045,258,0.4069767441860465,-0.2522842006116045,-0.5290664605046367
1h,50,2.0,False,1.5,2.0,-0.09489636325932438,0.9497160479868698,249,0.3453815261044177,-0.2559849473334317,-0.32567016430394335
1h,50,2.0,False,2.0,0.5,-0.03862589849230247,0.9548646821094113,268,0.6828358208955224,-0.12465564950069818,-0.27492164157217447
1h,50,2.0,False,2.0,0.75,-0.04261613209002646,0.957278699476358,238,0.5840336134453782,-0.13873400263196023,-0.2517702787407747
1h,50,2.0,False,2.0,1.0,-0.03942768348145087,0.965566997626667,222,0.5135135135135135,-0.15990058022981424,-0.1907640367159086
1h,50,2.0,False,2.0,1.5,0.04728778133938416,1.0346703135908362,204,0.43137254901960786,-0.1336884567687986,0.34486371252035236
1h,50,2.0,False,2.0,2.0,0.13217431703162963,1.103131896198127,172,0.37790697674418605,-0.10954539787621698,0.7377741835004216
1h,50,2.0,False,3.0,0.5,-0.011276293124276138,0.9823532664104904,194,0.6804123711340206,-0.06900681917082674,-0.06529496145422538
1h,50,2.0,False,3.0,0.75,0.11617873933463274,1.1606021374961144,172,0.627906976744186,-0.05529114827640624,1.0283747331974504
1h,50,2.0,False,3.0,1.0,0.15689882706382052,1.1871217632860431,163,0.5644171779141104,-0.06417770076199569,1.198968096486643
