tf,dc,adx,struct,shorts,stop,rr,ret,pf,n,win,dd
1h,10,20.0,False,True,3.0,3.0,-0.10897199210091857,0.8013378130630535,76,0.2236842105263158,-0.18569267365736042
1h,10,20.0,False,False,1.5,1.0,-0.2870178057162349,0.6440202616116256,158,0.43037974683544306,-0.2991153337298079
1h,10,20.0,False,False,1.5,1.5,-0.2652552491766137,0.6646461271018307,133,0.3383458646616541,-0.2761503994938962
1h,10,20.0,False,False,1.5,2.0,-0.3025446923292865,0.6268434573071194,122,0.26229508196721313,-0.30836263066211267
1h,10,20.0,False,False,1.5,3.0,-0.27344875199577634,0.6675476536547634,111,0.1981981981981982,-0.2916414066810138
1h,10,20.0,False,False,2.0,1.0,-0.16559369401117618,0.7491622286081561,129,0.4573643410852713,-0.1725766693071631
1h,10,20.0,False,False,2.0,1.5,-0.2607513426469241,0.6251483951478387,116,0.31896551724137934,-0.2828360240412714
1h,10,20.0,False,False,2.0,2.0,-0.2973006787654874,0.5977176459756081,110,0.24545454545454545,-0.30338272811864975
1h,10,20.0,False,False,2.0,3.0,-0.19972458687468497,0.6905116999072719,85,0.2,-0.21428252430588002
1h,10,20.0,False,False,3.0,1.0,-0.1572694971166091,0.7074956295300867,105,0.4380952380952381,-0.1643352676079709
1h,10,20.0,False,False,3.0,1.5,-0.12342797470294897,0.77775581173781,88,0.3522727272727273,-0.12705171026778284
1h,10,20.0,False,False,3.0,2.0,-0.029058528342508883,0.9383552923214792,72,0.3333333333333333,-0.10917140351009502
1h,10,20.0,False,False,3.0,3.0,-0.14408435539253006,0.6924955093276447,61,0.19672131147540983,-0.14408435539253006
1h,10,25.0,True,True,1.5,1.0,-0.16752229512029904,0.5912458882676119,73,0.410958904109589,-0.1758337343886418
1h,10,25.0,True,True,1.5,1.5,-0.13876534178347577,0.6677160324858218,65,0.3384615384615385,-0.16865298012737673
1h,10,25.0,True,True,1.5,2.0,-0.09131021557260899,0.777099708481076,59,0.3050847457627119,-0.14493571137395012
1h,10,25.0,True,True,1.5,3.0,-0.14099064126258487,0.6407249907723691,51,0.19607843137254902,-0.19314276557697274
1h,10,25.0,True,True,2.0,1.0,-0.12738840867507428,0.6494854765219015,66,0.42424242424242425,-0.14078449297990958
1h,10,25.0,True,True,2.0,1.5,-0.07054221371771296,0.8066317899012077,59,0.3728813559322034,-0.10693288727403905
1h,10,25.0,True,True,2.0,2.0,-0.16401598056957267,0.5485924027807008,51,0.23529411764705882,-0.17858079280233974
1h,10,25.0,True,True,2.0,3.0,-0.17019484851923083,0.503862450722418,44,0.1590909090909091,-0.17019484851923083
1h,10,25.0,True,True,3.0,1.0,-0.07844783439815839,0.7432078645541504,58,0.4482758620689655,-0.11900562338670384
1h,10,25.0,True,True,3.0,1.5,-0.07105751530606319,0.7596995718346105,48,0.3541666666666667,-0.12447855843543187
1h,10,25.0,True,True,3.0,2.0,-0.1759499084077344,0.43588371899889383,42,0.19047619047619047,-0.1759499084077344
1h,10,25.0,True,True,3.0,3.0,-0.15159091045076023,0.5070217830296243,39,0.15384615384615385,-0.15159091045076023
1h,10,25.0,True,False,1.5,1.0,-0.10631889746819145,0.4418420643286307,29,0.3448275862068966,-0.10631889746819145
1h,10,25.0,True,False,1.5,1.5,-0.10946508917847675,0.4561745769394182,27,0.25925925925925924,-0.10946508917847675
1h,10,25.0,True,False,1.5,2.0,-0.057892255189061714,0.6867814383860532,25,0.28,-0.07447907353989158
1h,10,25.0,True,False,1.5,3.0,-0.08517906650273821,0.5566698801698827,23,0.17391304347826086,-0.09549010930041346
1h,10,25.0,True,False,2.0,1.0,-0.11700584567484251,0.37162958837639626,27,0.2962962962962963,-0.11700584567484251
1h,10,25.0,True,False,2.0,1.5,-0.08543414623118895,0.523012091732913,25,0.28,-0.08543414623118895
1h,10,25.0,True,False,2.0,2.0,-0.11613637427567025,0.37642433627897415,23,0.17391304347826086,-0.11613637427567025
1h,10,25.0,True,False,2.0,3.0,-0.13161798214443954,0.2867549823377588,21,0.09523809523809523,-0.13161798214443954
1h,10,25.0,True,False,3.0,1.0,-0.05696803266926742,0.6105104692791897,25,0.4,-0.0791470392257132
1h,10,25.0,True,False,3.0,1.5,-0.06175001294627491,0.6026047069096893,23,0.30434782608695654,-0.09375222493825508
1h,10,25.0,True,False,3.0,2.0,-0.09259498498017893,0.43168885709739685,21,0.19047619047619047,-0.09878599408345012
1h,10,25.0,True,False,3.0,3.0,-0.09331827548627958,0.45550055354807506,21,0.14285714285714285,-0.12479723672515142
1h,10,25.0,False,True,1.5,1.0,-0.320527445362376,0.6943121100033861,228,0.4517543859649123,-0.3632037956086527
1h,10,25.0,False,True,1.5,1.5,-0.27539478716053145,0.7365845179929142,188,0.3617021276595745,-0.3108837040174578
1h,10,25.0,False,True,1.5,2.0,-0.2522888944211663,0.7558518230497647,171,0.30409356725146197,-0.35746852764811476
1h,10,25.0,False,True,1.5,3.0,-0.16564282765774574,0.837740246810183,146,0.23972602739726026,-0.28966491287140717
1h,10,25.0,False,True,2.0,1.0,-0.1860963422321945,0.7909580297718134,186,0.4731182795698925,-0.22038800854578278
1h,10,25.0,False,True,2.0,1.5,-0.15677560584665007,0.8288411541731633,160,0.38125,-0.21725945906797328
